Topic,Setting,Character1,Character2,Personality1,Personality2
Handling a Star Player’s Poor Attitude,Sport,Donald Trump,Warren Buffett,"{ ""Openness"": 3, ""Conscientiousness"": 4, ""Agreeableness"": 2, ""Extroversion"": 5, ""Neuroticism"": 4 }","{ ""Openness"": 3, ""Conscientiousness"": 5, ""Agreeableness"": 5, ""Extroversion"": 3, ""Neuroticism"": 1 }"
Betrayal for Survival,Survival & Crisis Management,Donald Trump,Oprah Winfrey,"{ ""Openness"": 3, ""Conscientiousness"": 4, ""Agreeableness"": 2, ""Extroversion"": 5, ""Neuroticism"": 4 }","{ ""Openness"": 4, ""Conscientiousness"": 4, ""Agreeableness"": 5, ""Extroversion"": 5, ""Neuroticism"": 2 }"
Group Project with an Uncooperative Teammate,School & Academia,Donald Trump,Barack Obama,"{ ""Openness"": 3, ""Conscientiousness"": 4, ""Agreeableness"": 2, ""Extroversion"": 5, ""Neuroticism"": 4 }","{ ""Openness"": 5, ""Conscientiousness"": 4, ""Agreeableness"": 4, ""Extroversion"": 4, ""Neuroticism"": 2 }"
Following Orders vs. Moral Judgment,Military & Security,Donald Trump,Robert Kiyosaki,"{ ""Openness"": 3, ""Conscientiousness"": 4, ""Agreeableness"": 2, ""Extroversion"": 5, ""Neuroticism"": 4 }","{ ""Openness"": 3, ""Conscientiousness"": 5, ""Agreeableness"": 3, ""Extroversion"": 4, ""Neuroticism"": 2 }"
Balancing National Security and Civil Liberties,Politics & Governance,Donald Trump,Arnold Schwarzenegger,"{ ""Openness"": 3, ""Conscientiousness"": 4, ""Agreeableness"": 2, ""Extroversion"": 5, ""Neuroticism"": 4 }","{ ""Openness"": 3, ""Conscientiousness"": 4, ""Agreeableness"": 4, ""Extroversion"": 5, ""Neuroticism"": 2 }"
Ethical AI Development,Technology & Innovation,Donald Trump,Richard Branson,"{ ""Openness"": 3, ""Conscientiousness"": 4, ""Agreeableness"": 2, ""Extroversion"": 5, ""Neuroticism"": 4 }","{ ""Openness"": 5, ""Conscientiousness"": 4, ""Agreeableness"": 3, ""Extroversion"": 5, ""Neuroticism"": 2 }"
Dealing with a Potential Insider Threat,Military & Security,Donald Trump,Elon Musk,"{ ""Openness"": 3, ""Conscientiousness"": 4, ""Agreeableness"": 2, ""Extroversion"": 5, ""Neuroticism"": 4 }","{ ""Openness"": 5, ""Conscientiousness"": 4, ""Agreeableness"": 2, ""Extroversion"": 5, ""Neuroticism"": 3 }"
Cheating Dilemma in an Exam,School & Academia,Donald Trump,Hillary Clinton,"{ ""Openness"": 3, ""Conscientiousness"": 4, ""Agreeableness"": 2, ""Extroversion"": 5, ""Neuroticism"": 4 }","{ ""Openness"": 4, ""Conscientiousness"": 5, ""Agreeableness"": 3, ""Extroversion"": 4, ""Neuroticism"": 3 }"
Dealing with a Difficult Client,Professional,Donald Trump,Michael Jordan,"{ ""Openness"": 3, ""Conscientiousness"": 4, ""Agreeableness"": 2, ""Extroversion"": 5, ""Neuroticism"": 4 }","{ ""Openness"": 3, ""Conscientiousness"": 5, ""Agreeableness"": 4, ""Extroversion"": 4, ""Neuroticism"": 2 }"
Bias in the Legal System,Crime & Law Enforcement,Donald Trump,Vladimir Putin,"{ ""Openness"": 3, ""Conscientiousness"": 4, ""Agreeableness"": 2, ""Extroversion"": 5, ""Neuroticism"": 4 }","{ ""Openness"": 3, ""Conscientiousness"": 4, ""Agreeableness"": 2, ""Extroversion"": 4, ""Neuroticism"": 3 }"
Dealing with a Potential Insider Threat,School & Academia,Elon Musk,Jeff Bezos,"{ ""Openness"": 5, ""Conscientiousness"": 4, ""Agreeableness"": 2, ""Extroversion"": 5, ""Neuroticism"": 3 }","{ ""Openness"": 4, ""Conscientiousness"": 5, ""Agreeableness"": 2, ""Extroversion"": 3, ""Neuroticism"": 3 }"
Choosing Who to Save in a Disaster,Military & Security,Elon Musk,Sam Altman,"{ ""Openness"": 5, ""Conscientiousness"": 4, ""Agreeableness"": 2, ""Extroversion"": 5, ""Neuroticism"": 3 }","{ ""Openness"": 5, ""Conscientiousness"": 4, ""Agreeableness"": 4, ""Extroversion"": 3, ""Neuroticism"": 2 }"
Compromise vs. Sticking to Principles,Politics & Governance,Elon Musk,James Cameron,"{ ""Openness"": 5, ""Conscientiousness"": 4, ""Agreeableness"": 2, ""Extroversion"": 5, ""Neuroticism"": 3 }","{ ""Openness"": 5, ""Conscientiousness"": 5, ""Agreeableness"": 3, ""Extroversion"": 4, ""Neuroticism"": 3 }"
Startups vs. Corporate Giants,Technology & Innovation,Elon Musk,Bill Gates,"{ ""Openness"": 5, ""Conscientiousness"": 4, ""Agreeableness"": 2, ""Extroversion"": 5, ""Neuroticism"": 3 }","{ ""Openness"": 4, ""Conscientiousness"": 5, ""Agreeableness"": 4, ""Extroversion"": 3, ""Neuroticism"": 2 }"
Bias in the Legal System,Crime & Law Enforcement,Elon Musk,Neil deGrasse Tyson,"{ ""Openness"": 5, ""Conscientiousness"": 4, ""Agreeableness"": 2, ""Extroversion"": 5, ""Neuroticism"": 3 }","{ ""Openness"": 5, ""Conscientiousness"": 4, ""Agreeableness"": 4, ""Extroversion"": 5, ""Neuroticism"": 2 }"
Protecting an Informant vs. Public Safety,Crime & Law Enforcement,Elon Musk,Richard Branson,"{ ""Openness"": 5, ""Conscientiousness"": 4, ""Agreeableness"": 2, ""Extroversion"": 5, ""Neuroticism"": 3 }","{ ""Openness"": 5, ""Conscientiousness"": 4, ""Agreeableness"": 3, ""Extroversion"": 5, ""Neuroticism"": 2 }"
Doctor-Patient Confidentiality vs. Public Safety,Healthcare & Medical Ethics,Elon Musk,Vitalik Buterin,"{ ""Openness"": 5, ""Conscientiousness"": 4, ""Agreeableness"": 2, ""Extroversion"": 5, ""Neuroticism"": 3 }","{ ""Openness"": 5, ""Conscientiousness"": 4, ""Agreeableness"": 4, ""Extroversion"": 3, ""Neuroticism"": 2 }"
Group Project with an Uncooperative Teammate,School & Academia,Elon Musk,Henry Ford,"{ ""Openness"": 5, ""Conscientiousness"": 4, ""Agreeableness"": 2, ""Extroversion"": 5, ""Neuroticism"": 3 }","{ ""Openness"": 4, ""Conscientiousness"": 5, ""Agreeableness"": 3, ""Extroversion"": 3, ""Neuroticism"": 2 }"
Workplace Conflict Resolution,Professional,Elon Musk,Noam Chomsky,"{ ""Openness"": 5, ""Conscientiousness"": 4, ""Agreeableness"": 2, ""Extroversion"": 5, ""Neuroticism"": 3 }","{ ""Openness"": 5, ""Conscientiousness"": 4, ""Agreeableness"": 3, ""Extroversion"": 2, ""Neuroticism"": 2 }"
Cybersecurity vs. Freedom of Information,Technology & Innovation,Elon Musk,Steve Jobs,"{ ""Openness"": 5, ""Conscientiousness"": 4, ""Agreeableness"": 2, ""Extroversion"": 5, ""Neuroticism"": 3 }","{ ""Openness"": 4, ""Conscientiousness"": 5, ""Agreeableness"": 3, ""Extroversion"": 4, ""Neuroticism"": 3 }"
AI Replacing Human Jobs,Ethical Dilemmas,Mark Zuckerberg,Tim Cook,"{ ""Openness"": 4, ""Conscientiousness"": 5, ""Agreeableness"": 3, ""Extroversion"": 3, ""Neuroticism"": 2 }","{ ""Openness"": 4, ""Conscientiousness"": 5, ""Agreeableness"": 4, ""Extroversion"": 3, ""Neuroticism"": 2 }"
Cheating Dilemma in an Exam,School & Academia,Mark Zuckerberg,Edward Snowden,"{ ""Openness"": 4, ""Conscientiousness"": 5, ""Agreeableness"": 3, ""Extroversion"": 3, ""Neuroticism"": 2 }","{ ""Openness"": 5, ""Conscientiousness"": 4, ""Agreeableness"": 3, ""Extroversion"": 2, ""Neuroticism"": 3 }"
Dealing with a Difficult Client,Professional,Mark Zuckerberg,Yann LeCun,"{ ""Openness"": 4, ""Conscientiousness"": 5, ""Agreeableness"": 3, ""Extroversion"": 3, ""Neuroticism"": 2 }","{ ""Openness"": 5, ""Conscientiousness"": 5, ""Agreeableness"": 3, ""Extroversion"": 3, ""Neuroticism"": 2 }"
Compromise vs. Sticking to Principles,Politics & Governance,Mark Zuckerberg,Linus Torvalds,"{ ""Openness"": 4, ""Conscientiousness"": 5, ""Agreeableness"": 3, ""Extroversion"": 3, ""Neuroticism"": 2 }","{ ""Openness"": 5, ""Conscientiousness"": 5, ""Agreeableness"": 2, ""Extroversion"": 2, ""Neuroticism"": 3 }"
Remote Team Management Challenges,Professional,Mark Zuckerberg,Jimmy Donaldson,"{ ""Openness"": 4, ""Conscientiousness"": 5, ""Agreeableness"": 3, ""Extroversion"": 3, ""Neuroticism"": 2 }","{ ""Openness"": 4, ""Conscientiousness"": 5, ""Agreeableness"": 4, ""Extroversion"": 5, ""Neuroticism"": 2 }"
Betrayal for Survival,Survival & Crisis Management,Mark Zuckerberg,Kevin Mitnick,"{ ""Openness"": 4, ""Conscientiousness"": 5, ""Agreeableness"": 3, ""Extroversion"": 3, ""Neuroticism"": 2 }","{ ""Openness"": 5, ""Conscientiousness"": 4, ""Agreeableness"": 3, ""Extroversion"": 3, ""Neuroticism"": 2 }"
Lying to Protect a Friend,Ethical Dilemmas,Mark Zuckerberg,Vitalik Buterin,"{ ""Openness"": 4, ""Conscientiousness"": 5, ""Agreeableness"": 3, ""Extroversion"": 3, ""Neuroticism"": 2 }","{ ""Openness"": 5, ""Conscientiousness"": 4, ""Agreeableness"": 4, ""Extroversion"": 3, ""Neuroticism"": 2 }"
Ethical AI Development,Technology & Innovation,Mark Zuckerberg,Sundar Pichai,"{ ""Openness"": 4, ""Conscientiousness"": 5, ""Agreeableness"": 3, ""Extroversion"": 3, ""Neuroticism"": 2 }","{ ""Openness"": 4, ""Conscientiousness"": 5, ""Agreeableness"": 4, ""Extroversion"": 3, ""Neuroticism"": 2 }"
Surviving on a Deserted Island Together,Survival & Crisis Management,Mark Zuckerberg,Elon Musk,"{ ""Openness"": 4, ""Conscientiousness"": 5, ""Agreeableness"": 3, ""Extroversion"": 3, ""Neuroticism"": 2 }","{ ""Openness"": 5, ""Conscientiousness"": 4, ""Agreeableness"": 2, ""Extroversion"": 5, ""Neuroticism"": 3 }"
Breaking the Law to Enforce Justice,Crime & Law Enforcement,Mark Zuckerberg,Bill Gates,"{ ""Openness"": 4, ""Conscientiousness"": 5, ""Agreeableness"": 3, ""Extroversion"": 3, ""Neuroticism"": 2 }","{ ""Openness"": 4, ""Conscientiousness"": 5, ""Agreeableness"": 4, ""Extroversion"": 3, ""Neuroticism"": 2 }"
Handling a Star Player’s Poor Attitude,Sport,Oprah Winfrey,Michelle Obama,"{ ""Openness"": 5, ""Conscientiousness"": 4, ""Agreeableness"": 5, ""Extroversion"": 5, ""Neuroticism"": 3 }","{ ""Openness"": 5, ""Conscientiousness"": 5, ""Agreeableness"": 5, ""Extroversion"": 4, ""Neuroticism"": 2 }"
Surviving on a Deserted Island Together,Survival & Crisis Management,Oprah Winfrey,Malala Yousafzai,"{ ""Openness"": 5, ""Conscientiousness"": 4, ""Agreeableness"": 5, ""Extroversion"": 5, ""Neuroticism"": 3 }","{ ""Openness"": 5, ""Conscientiousness"": 5, ""Agreeableness"": 5, ""Extroversion"": 3, ""Neuroticism"": 2 }"
Prioritizing Team Safety vs. Mission Success,Military & Security,Oprah Winfrey,Emma Watson,"{ ""Openness"": 5, ""Conscientiousness"": 4, ""Agreeableness"": 5, ""Extroversion"": 5, ""Neuroticism"": 3 }","{ ""Openness"": 5, ""Conscientiousness"": 4, ""Agreeableness"": 5, ""Extroversion"": 3, ""Neuroticism"": 3 }"
Breaking the Law to Enforce Justice,Crime & Law Enforcement,Oprah Winfrey,Trevor Noah,"{ ""Openness"": 5, ""Conscientiousness"": 4, ""Agreeableness"": 5, ""Extroversion"": 5, ""Neuroticism"": 3 }","{ ""Openness"": 5, ""Conscientiousness"": 4, ""Agreeableness"": 5, ""Extroversion"": 5, ""Neuroticism"": 3 }"
Workplace Conflict Resolution,Professional,Oprah Winfrey,J.K. Rowling,"{ ""Openness"": 5, ""Conscientiousness"": 4, ""Agreeableness"": 5, ""Extroversion"": 5, ""Neuroticism"": 3 }","{ ""Openness"": 5, ""Conscientiousness"": 5, ""Agreeableness"": 4, ""Extroversion"": 3, ""Neuroticism"": 4 }"
Whistleblowing on Corporate Misconduct,Ethical Dilemmas,Oprah Winfrey,Arianna Huffington,"{ ""Openness"": 5, ""Conscientiousness"": 4, ""Agreeableness"": 5, ""Extroversion"": 5, ""Neuroticism"": 3 }","{ ""Openness"": 5, ""Conscientiousness"": 5, ""Agreeableness"": 4, ""Extroversion"": 3, ""Neuroticism"": 2 }"
Cybersecurity vs. Freedom of Information,Technology & Innovation,Oprah Winfrey,Brené Brown,"{ ""Openness"": 5, ""Conscientiousness"": 4, ""Agreeableness"": 5, ""Extroversion"": 5, ""Neuroticism"": 3 }","{ ""Openness"": 5, ""Conscientiousness"": 4, ""Agreeableness"": 5, ""Extroversion"": 4, ""Neuroticism"": 3 }"
Team Loyalty vs. Personal Ambition,Sport,Oprah Winfrey,Ava DuVernay,"{ ""Openness"": 5, ""Conscientiousness"": 4, ""Agreeableness"": 5, ""Extroversion"": 5, ""Neuroticism"": 3 }","{ ""Openness"": 5, ""Conscientiousness"": 4, ""Agreeableness"": 5, ""Extroversion"": 4, ""Neuroticism"": 3 }"
Remote Team Management Challenges,Professional,Oprah Winfrey,Deepak Chopra,"{ ""Openness"": 5, ""Conscientiousness"": 4, ""Agreeableness"": 5, ""Extroversion"": 5, ""Neuroticism"": 3 }","{ ""Openness"": 5, ""Conscientiousness"": 4, ""Agreeableness"": 5, ""Extroversion"": 3, ""Neuroticism"": 2 }"
Balancing National Security and Civil Liberties,Politics & Governance,Oprah Winfrey,Indra Nooyi,"{ ""Openness"": 5, ""Conscientiousness"": 4, ""Agreeableness"": 5, ""Extroversion"": 5, ""Neuroticism"": 3 }","{ ""Openness"": 4, ""Conscientiousness"": 5, ""Agreeableness"": 4, ""Extroversion"": 3, ""Neuroticism"": 2 }"
