base_shared_goal,social_goal_category,explanation,first_agent_goal,second_agent_goal,shared_goal,agent1_role,agent2_role,scenario
"{'Abbreviation': 'Avoiding guilt', 'Full label': '""Avoiding feelings of guilt""'}",Conflict Resolution,"Conflict Resolution is chosen as the social goal category because it involves navigating interpersonal tensions while avoiding guilt—a scenario where personality traits and roles heavily influence behavior. The agents' personal goals reflect their motivations (e.g., preserving harmony vs. asserting boundaries), while their roles (e.g., mediator vs. defender) shape their strategies.","To resolve the conflict without appearing selfish, ensuring the other party feels heard to avoid guilt over causing distress.",To stand firm on their boundaries while avoiding guilt for potentially escalating the conflict.,"""Avoiding feelings of guilt""",Mediator (focuses on compromise and emotional appeasement),Defender (prioritizes self-respect but seeks to minimize collateral emotional damage),"{'scenario_context': 'Agent 1 and Agent 2 are coworkers collaborating on a high-stakes project with a tight deadline. Both are aware that their performance on this project could significantly impact their career progression. Recently, a disagreement arose over how to allocate limited resources—Agent 1 believes the team should prioritize consensus and harmony, even if it means compromising on efficiency, while Agent 2 insists on optimizing productivity by enforcing strict boundaries and minimizing distractions. Their shared goal is to avoid feelings of guilt—Agent 1 wants to resolve the conflict without appearing selfish and ensure Agent 2 feels heard to avoid guilt over causing distress, while Agent 2 aims to stand firm on their boundaries while avoiding guilt for potentially escalating the conflict. The tension is palpable, but neither wants the project to fail due to unresolved conflict.'}"
"{'Abbreviation': 'Avoiding failure', 'Full label': '""Avoiding failure""'}",Conflict Resolution,"We selected 'Conflict Resolution' as the social goal category because it involves interpersonal dynamics where avoiding failure is critical (e.g., resolving disagreements without damaging relationships). Each agent's personal goal reflects their unique perspective while aligning with the shared goal of avoiding failure. Their social roles shape how they approach the conflict.",To de-escalate tension and find a compromise that preserves mutual respect.,To assert their needs without causing lasting harm to the relationship.,"""Avoiding failure""",Mediator (focuses on facilitating dialogue and fairness),Advocate (focuses on representing their own interests constructively),"{'scenario_context': '[Agent 1] and [Agent 2] are colleagues working on a high-stakes project with a tight deadline. The project’s success is critical for both their professional reputations, and failure would have significant consequences for their careers. Recently, disagreements over resource allocation and task priorities have created tension between them. [Agent 1], acting as the Mediator, seeks to de-escalate the tension and find a compromise that ensures fairness and preserves mutual respect. Meanwhile, [Agent 2], as the Advocate, is determined to assert their needs—such as securing additional support—without causing lasting harm to their working relationship. The challenge lies in balancing their shared goal of avoiding failure while navigating their conflicting personal goals amidst mounting pressure.'}"
"{'Abbreviation': 'Being good looking', 'Full label': '""Being good looking""'}",Competition,We selected 'Competition' as the social goal category to explore how personality traits influence behavior when agents are motivated by a shared goal ('Being good looking') but may have conflicting personal goals. This creates a dynamic where agents must balance their individual desires with the shared objective.,To be perceived as the most attractive person in the group,To outshine others by showcasing unique fashion choices,"""Being good looking""",The Charismatic Leader,The Trendsetting Rebel,"{'scenario_context': ""The scenario takes place at a high-profile social event where attendees are judged not only for their social status but also for their appearance. The shared goal of '[Agent 1]' (The Charismatic Leader) and '[Agent 2]' (The Trendsetting Rebel) is 'Being good looking,' but their individual goals introduce a competitive dynamic. [Agent 1] seeks to be perceived as the most attractive person in the group, leveraging charm and influence, while [Agent 2] aims to outshine others by showcasing unique fashion choices that defy conventional trends. The tension arises as both agents vie for attention and approval, yet their approaches—one relying on traditional charisma and the other on rebellious individuality—create a subtle clash. The medium difficulty stems from reconciling their distinct styles while still achieving the shared goal of standing out positively at the event.""}"
"{'Abbreviation': 'Novel ideas', 'Full label': '""Having original , novel ideas""'}",Cooperation,"The chosen social goal category is 'Cooperation' as it aligns well with the shared goal of 'Having original, novel ideas'. Cooperation involves working together to achieve a common objective, which in this case is generating innovative ideas. Each agent's personal goal reflects their unique perspective and motivation within this cooperative framework, while their social roles shape how they interact to achieve both their personal and shared goals.",To contribute unique and unconventional ideas that challenge the status quo and inspire creativity in the group.,"To synthesize and build upon the ideas of others, ensuring that the group's output is cohesive and practical.","""Having original , novel ideas""",Idea Provocateur,Idea Integrator,"{'scenario_context': 'In a creative brainstorming session for an upcoming innovation workshop, [Agent 1] and [Agent 2] are tasked with generating groundbreaking ideas that will captivate the audience and push the boundaries of conventional thinking. The shared goal is to produce original and novel ideas that stand out. [Agent 1], as the Idea Provocateur, strives to introduce bold and unconventional concepts that disrupt traditional approaches, aiming to ignite a spark of creativity within the group. Meanwhile, [Agent 2], the Idea Integrator, focuses on weaving these disparate ideas into a coherent and practical framework, ensuring that the final output is not only innovative but also feasible and well-structured. The session takes place in a modern, open-plan office with whiteboards covered in sticky notes, symbolizing the chaotic yet fertile ground for creativity. Both agents are aware of the time constraint—they have one hour to finalize their ideas before presenting them to the rest of the team.'}"
"{'Abbreviation': 'Mentor', 'Full label': '""Having a mentor , someone to guide me""'}",Relationship Building,"We selected 'Relationship Building' as the social goal category because the shared goal of 'Having a mentor, someone to guide me' inherently involves forming a meaningful, trust-based relationship between the mentor and mentee. This category aligns well with the dynamics of mentorship, where both parties work toward establishing a connection that fosters growth and guidance.","To find a reliable and knowledgeable mentor who can provide guidance, support, and advice to help me grow personally and professionally.","To establish a meaningful mentorship relationship where I can share my expertise, foster the mentee's development, and gain fulfillment from helping someone succeed.","""Having a mentor , someone to guide me""","Mentee (e.g., a young professional seeking career guidance)","Mentor (e.g., an experienced professional willing to share knowledge and support)","{'scenario_context': '[Agent 1], a young professional eager to advance in their career but lacking direction, has signed up for a mentorship program. They are hopeful but somewhat anxious about meeting their mentor, unsure if the mentor will understand their needs or be willing to invest time in them. [Agent 2], an experienced professional with a successful track record, has volunteered as a mentor to give back to the community. However, they are cautious about overcommitting and want to ensure the mentee is serious and proactive. Both agents meet for the first time in a cozy coffee shop, a neutral and informal setting chosen to ease initial tensions. Their shared goal is to establish a productive mentorship, but [Agent 1] seeks reassurance and guidance, while [Agent 2] looks for enthusiasm and commitment from the mentee. The situation presents a medium level of difficulty as both agents must navigate their expectations and build trust to make the relationship work.'}"
"{'Abbreviation': 'Othersâ€™ trust', 'Full label': '""Having othersâ€™ trust""'}",Relationship Building,"We selected 'Relationship Building' as the social goal category because it aligns well with the shared goal of 'Having others' trust'. Trust is often a foundational element in forming new relationships, and the agents' personal goals will reflect their unique motivations within this context.","To establish a genuine connection with the other agent by demonstrating reliability and empathy, thereby earning their trust.",To assess the other agent's sincerity and consistency in order to determine if they are trustworthy for a long-term relationship.,"""Having othersâ€™ trust""",The Initiator (proactively seeks to build trust through openness and support),The Evaluator (cautiously observes and judges the Initiator's trustworthiness before committing),"{'scenario_context': ""[Agent 1] and [Agent 2] are colleagues working on a high-stakes project that requires close collaboration. They have been paired together for the first time, and their success depends on mutual trust and effective communication. [Agent 1], the Initiator, is eager to build a strong working relationship by being transparent and supportive, hoping to create a foundation of trust. [Agent 2], the Evaluator, is more reserved and prefers to observe [Agent 1]'s actions over time to gauge their reliability before fully committing to the partnership. The shared goal of earning each other's trust is complicated by [Agent 1]'s desire for immediate connection and [Agent 2]'s cautious approach, creating a dynamic where both must navigate their differences to achieve their professional objectives.""}"
"{'Abbreviation': 'Firm values', 'Full label': '""Having firm values""'}",Identity Recognition,The chosen social goal category is 'Identity Recognition' because it aligns well with the shared goal of 'Having firm values'. Recognizing and affirming each other's identities can reinforce personal values and beliefs in a social context.,To assert and receive validation for their deeply held ethical principles in the interaction.,To express and have their cultural values acknowledged and respected by the other agent.,"""Having firm values""",Ethical Advocate,Cultural Ambassador,"{'scenario_context': ""In a community center dedicated to fostering cross-cultural understanding and ethical dialogue, [Agent 1], an Ethical Advocate, and [Agent 2], a Cultural Ambassador, are participating in a workshop titled 'Values in Action.' The shared goal of the workshop is to explore and affirm the importance of having firm values in shaping personal and collective identity. [Agent 1] aims to assert and receive validation for their deeply held ethical principles, which they believe are universal and should guide all interactions. Meanwhile, [Agent 2] seeks to express and have their cultural values, which are deeply tied to their heritage and traditions, acknowledged and respected by others. The workshop setting provides a platform for both agents to engage in a meaningful exchange, but the differing foundations of their values—one rooted in universal ethics and the other in cultural specificity—introduces a medium level of tension as they navigate how to reconcile their individual goals with the shared objective of the workshop.""}"
"{'Abbreviation': 'Cared for', 'Full label': '""Being taken care of""'}",Relationship Building,We selected 'Relationship Building' as the social goal category because it aligns well with the shared goal of 'Being taken care of'. This category allows us to explore how agents with different personal goals and social roles interact to form a supportive relationship.,To establish trust and emotional support from the other agent to feel secure in being taken care of.,To demonstrate caregiving abilities and build a bond that ensures mutual reliance and support.,"""Being taken care of""","Seeker of Support (e.g., someone in need of care, such as a patient or a vulnerable individual)","Caregiver (e.g., a nurse, family member, or friend offering care)","{'scenario_context': ""[Agent 1] is a patient recovering from a recent surgery and has been feeling particularly vulnerable due to the lack of emotional support from their family. They are staying in a shared rehabilitation center where [Agent 2], a compassionate but overworked nurse, is responsible for their care. Both agents share the goal of '[Agent 1] being taken care of,' but [Agent 1] seeks to establish trust and emotional support to feel secure, while [Agent 2] aims to demonstrate their caregiving abilities and build a bond that ensures mutual reliance. The situation is complicated by [Agent 2]'s limited time due to other patients and [Agent 1]'s growing anxiety about their recovery process.""}"
"{'Abbreviation': 'Being popular', 'Full label': '""Being in the center of things , being popular""'}",Competition,"The chosen social goal category is 'Competition' as it aligns well with the shared goal of 'Being in the center of things, being popular'. In competitive scenarios, individuals often strive to outshine others to gain attention and popularity. The agents' personal goals will reflect their unique motivations within this competitive context, while their social roles will shape how they interact.",To outperform the other agent in social interactions to become the most popular person in the group,To subtly undermine the other agent's social standing while maintaining a likable facade to gain popularity,"""Being in the center of things , being popular""",The Charismatic Leader,The Subtle Manipulator,"{'scenario_context': ""A popular local café is hosting a monthly social event where attendees vote for the 'Most Influential Person' of the evening. The winner gains not only prestige but also the opportunity to host the next event, a coveted role that ensures continued visibility and admiration. [Agent 1], known as The Charismatic Leader, thrives in the spotlight and is determined to outperform everyone, especially [Agent 2], to solidify their status as the most popular person in the group. Meanwhile, [Agent 2], The Subtle Manipulator, aims to maintain a friendly demeanor while discreetly sabotaging [Agent 1]'s efforts, ensuring their own rise in popularity remains unchallenged. Both agents are aware of the other's intentions, creating an undercurrent of tension beneath the seemingly convivial atmosphere.""}"
"{'Abbreviation': 'Being able to fantasize', 'Full label': '""Being able to fantasize , imagine""'}",Relationship Building,"The chosen social goal category is 'Relationship Building' because the shared goal of 'Being able to fantasize, imagine' naturally lends itself to collaborative and creative interactions that can strengthen interpersonal bonds. The agents will engage in imaginative scenarios to build rapport and deepen their relationship.",To create a shared fantasy world that reflects mutual interests and strengthens emotional connection.,To explore imaginative scenarios that foster trust and camaraderie with the other agent.,"""Being able to fantasize , imagine""",Storyteller (initiates and guides the fantasy narrative),Co-Creator (actively contributes ideas and builds upon the narrative),"{'scenario_context': '[Agent 1] and [Agent 2] find themselves in a cozy, dimly lit room filled with stacks of books, maps, and trinkets from various cultures. They have recently discovered a shared passion for mythology and storytelling, and tonight, they’ve decided to collaborate on crafting a shared fantasy world that blends their favorite elements from lore and personal imagination. [Agent 1], as the Storyteller, has prepared a loose framework for the world—a mystical realm where ancient spirits and modern adventurers coexist. [Agent 2], the Co-Creator, is eager to contribute by adding unique cultures and hidden secrets to the world, aiming to deepen the bond between them through this creative process. While their shared goal is to lose themselves in this imaginative endeavor, [Agent 1] hopes the world will reflect their emotional connection, while [Agent 2] wants to use the experience to build trust and camaraderie. The challenge lies in balancing their visions—[Agent 1] prefers structured narratives, while [Agent 2] thrives on spontaneous, chaotic twists. The room’s atmosphere is inviting, but the pressure to harmonize their styles adds a subtle tension to the collaboration.'}"
"{'Abbreviation': 'Taking risks', 'Full label': '""Not being fearful , being able to take risks""'}",Relationship Building,"We selected 'Relationship Building' as the social goal category because fostering trust and mutual understanding is essential for overcoming fear and taking risks together. The agents' personal goals reflect their individual motivations within this shared context, while their social roles shape how they interact to achieve both personal and shared objectives.",To establish a trusting connection with the other agent to feel supported in taking risks.,To inspire confidence in the other agent by demonstrating fearlessness and encouraging risk-taking.,"""Not being fearful , being able to take risks""",The Seeker (looks for guidance and reassurance to overcome fear),The Mentor (provides encouragement and models risk-taking behavior),"{'scenario_context': ""Agent 1 and Agent 2 find themselves at a high ropes course designed to push participants out of their comfort zones and build trust in themselves and others. The shared goal is to overcome fear and take risks by completing the course together. Agent 1, as The Seeker, is hesitant and looks to Agent 2 for reassurance and guidance to muster the courage to proceed. Agent 2, as The Mentor, is confident and aims to lead by example, encouraging Agent 1 to step outside their comfort zone by demonstrating fearlessness and offering supportive advice. The medium difficulty arises from Agent 1's internal struggle with fear and Agent 2's challenge to balance encouragement without pushing too hard, all while navigating the physical and emotional demands of the course.""}"
"{'Abbreviation': 'Easy life', 'Full label': '""Having an easy and comfortable life""'}",Cooperation,"We chose 'Cooperation' as the social goal category because it aligns well with the shared goal of 'Having an easy and comfortable life'. Cooperation involves working together to achieve mutual benefits, which naturally supports a comfortable and stress-free lifestyle. The personal goals reflect individual motivations within this cooperative framework, while the assigned roles shape how each agent interacts to achieve both personal and shared goals.",To minimize personal effort by delegating tasks efficiently while maintaining harmony in shared responsibilities.,To ensure fairness in task distribution and avoid feeling overburdened in shared living arrangements.,"""Having an easy and comfortable life""",Coordinator,Contributor,"{'scenario_context': '[Agent 1] and [Agent 2] are roommates sharing an apartment, both aiming for an easy and comfortable life. They have recently moved in together and are now facing the task of dividing household chores and responsibilities. [Agent 1], the Coordinator, wants to minimize personal effort by delegating tasks efficiently while ensuring harmony in their shared space. [Agent 2], the Contributor, is keen on ensuring fairness in task distribution and avoiding feelings of being overburdened. The situation presents a medium level of difficulty as their goals are reconcilable but require negotiation and compromise to balance efficiency and fairness.'}"
"{'Abbreviation': 'Feeling close to family', 'Full label': '""Feeling close to my parents , siblings , grandparents""'}",Relationship Building,The chosen social goal category is 'Relationship Building' as it aligns well with the shared goal of feeling close to family members. This category focuses on fostering deeper connections and understanding among individuals.,To initiate meaningful conversations with family members to understand their perspectives and strengthen emotional bonds.,To actively listen and share personal experiences with family members to create a sense of mutual trust and closeness.,"""Feeling close to my parents , siblings , grandparents""",The Initiator,The Listener,"{'scenario_context': ""The family has gathered for a weekend reunion at their grandparents' countryside home, a rare opportunity for everyone to reconnect amidst their busy lives. The living room is cozy, with a fireplace crackling softly, creating a warm and inviting atmosphere. [Agent 1], feeling the importance of deepening family ties, hopes to break the ice by steering conversations toward meaningful topics that reveal shared values and emotions. Meanwhile, [Agent 2] is seated comfortably nearby, eager to engage in heartfelt discussions but more inclined to listen attentively and share personal anecdotes that might resonate with others. Both agents share the overarching goal of feeling closer to their family members, but their individual approaches—initiating vs. listening—could either complement each other or lead to subtle tensions if not harmonized.""}"
"{'Abbreviation': 'Support from others', 'Full label': '""Receiving support from others on projects I believe in""'}",Cooperation,The chosen social goal category is 'Cooperation' because the shared goal of 'Receiving support from others on projects I believe in' inherently involves collaborative efforts. Each agent's personal goal reflects their unique perspective and motivation while aligning with the broader cooperative context. Their assigned social roles shape how they interact to achieve both their personal and shared goals.,"To persuade others to contribute resources (time, skills, or funding) to my project by highlighting its potential impact and mutual benefits.","To selectively support projects that align with my values and offer personal or professional growth opportunities, while maintaining a balanced workload.","""Receiving support from others on projects I believe in""",Project Advocate,Supportive Evaluator,"{'scenario_context': ""[Agent 1] is a Project Advocate who has developed a new initiative aimed at addressing a pressing community issue, such as sustainability or education. The project requires collaboration and resources from others to succeed. [Agent 2] is a Supportive Evaluator who is known for their thoughtful approach to backing projects, weighing personal alignment and potential benefits carefully. The two agents meet at a community networking event where [Agent 1] hopes to secure [Agent 2]'s support, while [Agent 2] is considering various opportunities and is cautious about overcommitting. Both share the goal of advancing meaningful projects, but their individual approaches and priorities introduce potential friction in achieving alignment.""}"
